Country,Date,Approved_Value,Source
Algeria,2026-01-01,646,Forecast
Algeria,2026-02-01,682,Forecast
Algeria,2026-03-01,710,Forecast
Algeria,2026-04-01,829,Forecast
Algeria,2026-05-01,936,Forecast
Algeria,2026-06-01,1034,Forecast
Algeria,2026-07-01,1258,Forecast
Algeria,2026-08-01,836,Forecast
Algeria,2026-09-01,1145,Forecast
Algeria,2026-10-01,864,Forecast
Algeria,2026-11-01,797,Forecast
Algeria,2026-12-01,759,Forecast
Andorra,2022-01-01,0,Actual
Andorra,2022-02-01,0,Actual
Andorra,2022-03-01,0,Actual
Andorra,2022-04-01,0,Actual
Andorra,2022-05-01,0,Actual
Andorra,2022-06-01,0,Actual
Andorra,2022-07-01,0,Actual
Andorra,2022-08-01,0,Actual
Andorra,2022-09-01,0,Actual
Andorra,2022-10-01,0,Actual
Andorra,2022-11-01,0,Actual
Andorra,2022-12-01,0,Actual
Andorra,2023-01-01,0,Actual
Andorra,2023-02-01,0,Actual
Andorra,2023-03-01,0,Actual
Andorra,2023-04-01,0,Actual
Andorra,2023-05-01,0,Actual
Andorra,2023-06-01,0,Actual
Andorra,2023-07-01,0,Actual
Andorra,2023-08-01,0,Actual
Andorra,2023-09-01,0,Actual
Andorra,2023-10-01,0,Actual
Andorra,2023-11-01,0,Actual
Andorra,2023-12-01,0,Actual
Andorra,2024-01-01,0,Actual
Andorra,2024-02-01,0,Actual
Andorra,2024-03-01,0,Actual
Andorra,2024-04-01,0,Actual
Andorra,2024-05-01,0,Actual
Andorra,2024-06-01,0,Actual
Andorra,2024-07-01,0,Actual
Andorra,2024-08-01,0,Actual
Andorra,2024-09-01,0,Actual
Andorra,2024-10-01,0,Actual
Andorra,2024-11-01,0,Actual
Andorra,2024-12-01,0,Actual
Andorra,2025-01-01,0,Forecast
Andorra,2025-02-01,0,Forecast
Andorra,2025-03-01,0,Forecast
Andorra,2025-04-01,0,Forecast
Andorra,2025-05-01,0,Forecast
Andorra,2025-06-01,0,Forecast
Andorra,2025-07-01,0,Forecast
Andorra,2025-08-01,0,Forecast
Andorra,2025-09-01,0,Forecast
Andorra,2025-10-01,0,Forecast
Andorra,2025-11-01,0,Forecast
Andorra,2025-12-01,0,Forecast
Andorra,2026-01-01,0,Forecast
Andorra,2026-02-01,0,Forecast
Andorra,2026-03-01,0,Forecast
Andorra,2026-04-01,0,Forecast
Andorra,2026-05-01,0,Forecast
Andorra,2026-06-01,0,Forecast
Andorra,2026-07-01,0,Forecast
Andorra,2026-08-01,0,Forecast
Andorra,2026-09-01,0,Forecast
Andorra,2026-10-01,0,Forecast
Andorra,2026-11-01,0,Forecast
Andorra,2026-12-01,0,Forecast
Angola,2022-01-01,15,Actual
Angola,2022-02-01,25,Actual
Angola,2022-03-01,20,Actual
Angola,2022-04-01,50,Actual
Angola,2022-05-01,30,Actual
Angola,2022-06-01,25,Actual
Angola,2022-07-01,30,Actual
Angola,2022-08-01,20,Actual
Angola,2022-09-01,10,Actual
Angola,2022-10-01,0,Actual
Angola,2022-11-01,5,Actual
Angola,2022-12-01,0,Actual
Angola,2023-01-01,25,Actual
Angola,2023-02-01,35,Actual
Angola,2023-03-01,25,Actual
Angola,2023-04-01,25,Actual
Angola,2023-05-01,15,Actual
Angola,2023-06-01,10,Actual
Angola,2023-07-01,10,Actual
Angola,2023-08-01,5,Actual
Angola,2023-09-01,5,Actual
Angola,2023-10-01,25,Actual
Angola,2023-11-01,15,Actual
Angola,2023-12-01,35,Actual
Angola,2024-01-01,20,Actual
Angola,2024-02-01,20,Actual
Angola,2024-03-01,15,Actual
Angola,2024-04-01,10,Actual
Angola,2024-05-01,30,Actual
Angola,2024-06-01,25,Actual
Angola,2024-07-01,25,Actual
Angola,2024-08-01,20,Actual
Angola,2024-09-01,15,Actual
Angola,2024-10-01,0,Actual
Angola,2024-11-01,10,Actual
Angola,2024-12-01,15,Actual
Angola,2025-01-01,20,Forecast
Angola,2025-02-01,26,Forecast
Angola,2025-03-01,18,Forecast
Angola,2025-04-01,22,Forecast
Angola,2025-05-01,22,Forecast
Angola,2025-06-01,19,Forecast
Angola,2025-07-01,20,Forecast
Angola,2025-08-01,17,Forecast
Angola,2025-09-01,14,Forecast
Angola,2025-10-01,12,Forecast
Angola,2025-11-01,14,Forecast
Angola,2025-12-01,17,Forecast
Angola,2026-01-01,20,Forecast
Angola,2026-02-01,24,Forecast
Angola,2026-03-01,19,Forecast
Angola,2026-04-01,24,Forecast
Angola,2026-05-01,21,Forecast
Angola,2026-06-01,19,Forecast
Angola,2026-07-01,20,Forecast
Angola,2026-08-01,16,Forecast
Angola,2026-09-01,14,Forecast
Angola,2026-10-01,14,Forecast
Angola,2026-11-01,14,Forecast
Angola,2026-12-01,18,Forecast
Antigua and Barbuda,2022-01-01,10,Actual
Antigua and Barbuda,2022-02-01,5,Actual
Antigua and Barbuda,2022-03-01,10,Actual
Antigua and Barbuda,2022-04-01,10,Actual
Antigua and Barbuda,2022-05-01,10,Actual
Antigua and Barbuda,2022-06-01,5,Actual
Antigua and Barbuda,2022-07-01,15,Actual
Antigua and Barbuda,2022-08-01,10,Actual
Antigua and Barbuda,2022-09-01,10,Actual
Antigua and Barbuda,2022-10-01,10,Actual
Antigua and Barbuda,2022-11-01,0,Actual
Antigua and Barbuda,2022-12-01,5,Actual
Antigua and Barbuda,2023-01-01,25,Actual
Antigua and Barbuda,2023-02-01,10,Actual
Antigua and Barbuda,2023-03-01,10,Actual
Antigua and Barbuda,2023-04-01,10,Actual
Antigua and Barbuda,2023-05-01,5,Actual
Antigua and Barbuda,2023-06-01,10,Actual
Antigua and Barbuda,2023-07-01,10,Actual
Antigua and Barbuda,2023-08-01,15,Actual
Antigua and Barbuda,2023-09-01,5,Actual
Antigua and Barbuda,2023-10-01,0,Actual
Antigua and Barbuda,2023-11-01,5,Actual
Antigua and Barbuda,2023-12-01,5,Actual
Antigua and Barbuda,2024-01-01,0,Actual
Antigua and Barbuda,2024-02-01,10,Actual
Antigua and Barbuda,2024-03-01,5,Actual
Antigua and Barbuda,2024-04-01,0,Actual
Antigua and Barbuda,2024-05-01,5,Actual
Antigua and Barbuda,2024-06-01,5,Actual
Antigua and Barbuda,2024-07-01,5,Actual
Antigua and Barbuda,2024-08-01,5,Actual
Antigua and Barbuda,2024-09-01,10,Actual
Antigua and Barbuda,2024-10-01,5,Actual
Antigua and Barbuda,2024-11-01,10,Actual
Antigua and Barbuda,2024-12-01,5,Actual
Antigua and Barbuda,2025-01-01,9,Forecast
Antigua and Barbuda,2025-02-01,5,Forecast
Antigua and Barbuda,2025-03-01,7,Forecast
Antigua and Barbuda,2025-04-01,5,Forecast
Antigua and Barbuda,2025-05-01,6,Forecast
Antigua and Barbuda,2025-06-01,6,Forecast
Antigua and Barbuda,2025-07-01,7,Forecast
Antigua and Barbuda,2025-08-01,7,Forecast
Antigua and Barbuda,2025-09-01,7,Forecast
Antigua and Barbuda,2025-10-01,5,Forecast
Antigua and Barbuda,2025-11-01,5,Forecast
Antigua and Barbuda,2025-12-01,5,Forecast
Antigua and Barbuda,2026-01-01,8,Forecast
Antigua and Barbuda,2026-02-01,5,Forecast
Antigua and Barbuda,2026-03-01,6,Forecast
Antigua and Barbuda,2026-04-01,5,Forecast
Antigua and Barbuda,2026-05-01,5,Forecast
Antigua and Barbuda,2026-06-01,5,Forecast
Antigua and Barbuda,2026-07-01,7,Forecast
Antigua and Barbuda,2026-08-01,7,Forecast
Antigua and Barbuda,2026-09-01,6,Forecast
Antigua and Barbuda,2026-10-01,4,Forecast
Antigua and Barbuda,2026-11-01,4,Forecast
Antigua and Barbuda,2026-12-01,4,Forecast
Argentina,2022-01-01,30,Actual
Argentina,2022-02-01,35,Actual
Argentina,2022-03-01,55,Actual
Argentina,2022-04-01,30,Actual
Argentina,2022-05-01,25,Actual
Argentina,2022-06-01,25,Actual
Argentina,2022-07-01,45,Actual
Argentina,2022-08-01,35,Actual
Argentina,2022-09-01,30,Actual
Argentina,2022-10-01,15,Actual
Argentina,2022-11-01,20,Actual
Argentina,2022-12-01,15,Actual
Argentina,2023-01-01,55,Actual
Argentina,2023-02-01,50,Actual
Argentina,2023-03-01,45,Actual
Argentina,2023-04-01,30,Actual
Argentina,2023-05-01,60,Actual
Argentina,2023-06-01,65,Actual
Argentina,2023-07-01,30,Actual
Argentina,2023-08-01,40,Actual
Argentina,2023-09-01,10,Actual
Argentina,2023-10-01,25,Actual
Argentina,2023-11-01,15,Actual
Argentina,2023-12-01,65,Actual
Argentina,2024-01-01,55,Actual
Argentina,2024-02-01,40,Actual
Argentina,2024-03-01,35,Actual
Argentina,2024-04-01,35,Actual
Argentina,2024-05-01,35,Actual
Argentina,2024-06-01,45,Actual
Argentina,2024-07-01,50,Actual
Argentina,2024-08-01,50,Actual
Argentina,2024-09-01,15,Actual
Argentina,2024-10-01,15,Actual
Argentina,2024-11-01,30,Actual
Argentina,2024-12-01,30,Actual
Argentina,2025-01-01,43,Forecast
Argentina,2025-02-01,47,Forecast
Argentina,2025-03-01,44,Forecast
Argentina,2025-04-01,38,Forecast
Argentina,2025-05-01,41,Forecast
Argentina,2025-06-01,43,Forecast
Argentina,2025-07-01,43,Forecast
Argentina,2025-08-01,43,Forecast
Argentina,2025-09-01,31,Forecast
Argentina,2025-10-01,30,Forecast
Argentina,2025-11-01,33,Forecast
Argentina,2025-12-01,39,Forecast
Argentina,2026-01-01,46,Forecast
Argentina,2026-02-01,47,Forecast
Argentina,2026-03-01,46,Forecast
Argentina,2026-04-01,39,Forecast
Argentina,2026-05-01,44,Forecast
Argentina,2026-06-01,46,Forecast
Argentina,2026-07-01,44,Forecast
Argentina,2026-08-01,44,Forecast
Argentina,2026-09-01,33,Forecast
Argentina,2026-10-01,33,Forecast
Argentina,2026-11-01,34,Forecast
Argentina,2026-12-01,43,Forecast
Armenia,2022-01-01,5,Actual
Armenia,2022-02-01,20,Actual
Armenia,2022-03-01,0,Actual
Armenia,2022-04-01,15,Actual
Armenia,2022-05-01,5,Actual
Armenia,2022-06-01,15,Actual
Armenia,2022-07-01,15,Actual
Armenia,2022-08-01,10,Actual
Armenia,2022-09-01,10,Actual
Armenia,2022-10-01,20,Actual
Armenia,2022-11-01,5,Actual
Armenia,2022-12-01,15,Actual
Armenia,2023-01-01,15,Actual
Armenia,2023-02-01,15,Actual
Armenia,2023-03-01,15,Actual
Armenia,2023-04-01,5,Actual
Armenia,2023-05-01,15,Actual
Armenia,2023-06-01,35,Actual
Armenia,2023-07-01,30,Actual
Armenia,2023-08-01,15,Actual
Armenia,2023-09-01,25,Actual
Armenia,2023-10-01,30,Actual
Armenia,2023-11-01,25,Actual
Armenia,2023-12-01,15,Actual
Armenia,2024-01-01,10,Actual
Armenia,2024-02-01,20,Actual
Armenia,2024-03-01,25,Actual
Armenia,2024-04-01,15,Actual
Armenia,2024-05-01,5,Actual
Armenia,2024-06-01,20,Actual
Armenia,2024-07-01,30,Actual
Armenia,2024-08-01,15,Actual
Armenia,2024-09-01,30,Actual
Armenia,2024-10-01,5,Actual
Armenia,2024-11-01,20,Actual
Armenia,2024-12-01,20,Actual
Armenia,2025-01-01,17,Forecast
Armenia,2025-02-01,20,Forecast
Armenia,2025-03-01,16,Forecast
Armenia,2025-04-01,18,Forecast
Armenia,2025-05-01,15,Forecast
Armenia,2025-06-01,22,Forecast
Armenia,2025-07-01,23,Forecast
Armenia,2025-08-01,16,Forecast
Armenia,2025-09-01,25,Forecast
Armenia,2025-10-01,18,Forecast
Armenia,2025-11-01,19,Forecast
Armenia,2025-12-01,18,Forecast
Armenia,2026-01-01,17,Forecast
Armenia,2026-02-01,22,Forecast
Armenia,2026-03-01,19,Forecast
Armenia,2026-04-01,17,Forecast
Armenia,2026-05-01,16,Forecast
Armenia,2026-06-01,24,Forecast
Armenia,2026-07-01,25,Forecast
Armenia,2026-08-01,19,Forecast
Armenia,2026-09-01,22,Forecast
Armenia,2026-10-01,21,Forecast
Armenia,2026-11-01,20,Forecast
Armenia,2026-12-01,21,Forecast
Australia,2022-01-01,165,Actual
Australia,2022-02-01,130,Actual
Australia,2022-03-01,155,Actual
Australia,2022-04-01,115,Actual
Australia,2022-05-01,120,Actual
Australia,2022-06-01,135,Actual
Australia,2022-07-01,120,Actual
Australia,2022-08-01,100,Actual
Australia,2022-09-01,80,Actual
Australia,2022-10-01,45,Actual
Australia,2022-11-01,40,Actual
Australia,2022-12-01,60,Actual
Australia,2023-01-01,190,Actual
Australia,2023-02-01,190,Actual
Australia,2023-03-01,150,Actual
Australia,2023-04-01,75,Actual
Australia,2023-05-01,120,Actual
Australia,2023-06-01,90,Actual
Australia,2023-07-01,95,Actual
Australia,2023-08-01,110,Actual
Australia,2023-09-01,50,Actual
Australia,2023-10-01,50,Actual
Australia,2023-11-01,50,Actual
Australia,2023-12-01,90,Actual
Australia,2024-01-01,110,Actual
Australia,2024-02-01,90,Actual
Australia,2024-03-01,80,Actual
Australia,2024-04-01,90,Actual
Australia,2024-05-01,95,Actual
Australia,2024-06-01,95,Actual
Australia,2024-07-01,85,Actual
Australia,2024-08-01,95,Actual
Australia,2024-09-01,55,Actual
Australia,2024-10-01,45,Actual
Australia,2024-11-01,90,Actual
Australia,2024-12-01,75,Actual
Australia,2025-01-01,116,Forecast
Australia,2025-02-01,108,Forecast
Australia,2025-03-01,97,Forecast
Australia,2025-04-01,86,Forecast
Australia,2025-05-01,95,Forecast
Australia,2025-06-01,93,Forecast
Australia,2025-07-01,88,Forecast
Australia,2025-08-01,90,Forecast
Australia,2025-09-01,66,Forecast
Australia,2025-10-01,57,Forecast
Australia,2025-11-01,71,Forecast
Australia,2025-12-01,74,Forecast
Australia,2026-01-01,113,Forecast
Australia,2026-02-01,104,Forecast
Australia,2026-03-01,100,Forecast
Australia,2026-04-01,80,Forecast
Australia,2026-05-01,90,Forecast
Australia,2026-06-01,87,Forecast
Australia,2026-07-01,84,Forecast
Australia,2026-08-01,86,Forecast
Australia,2026-09-01,64,Forecast
Australia,2026-10-01,56,Forecast
Australia,2026-11-01,64,Forecast
Australia,2026-12-01,72,Forecast
Austria,2022-01-01,10,Actual
Austria,2022-02-01,15,Actual
Austria,2022-03-01,10,Actual
Austria,2022-04-01,10,Actual
Austria,2022-05-01,10,Actual
Austria,2022-06-01,5,Actual
Austria,2022-07-01,0,Actual
Austria,2022-08-01,10,Actual
Austria,2022-09-01,10,Actual
Austria,2022-10-01,0,Actual
Austria,2022-11-01,0,Actual
Austria,2022-12-01,10,Actual
Austria,2023-01-01,25,Actual
Austria,2023-02-01,15,Actual
Austria,2023-03-01,10,Actual
Austria,2023-04-01,10,Actual
Austria,2023-05-01,5,Actual
Austria,2023-06-01,5,Actual
Austria,2023-07-01,15,Actual
Austria,2023-08-01,0,Actual
Austria,2023-09-01,0,Actual
Austria,2023-10-01,0,Actual
Austria,2023-11-01,0,Actual
Austria,2023-12-01,5,Actual
Austria,2024-01-01,15,Actual
Austria,2024-02-01,5,Actual
Austria,2024-03-01,0,Actual
Austria,2024-04-01,0,Actual
Austria,2024-05-01,10,Actual
Austria,2024-06-01,20,Actual
Austria,2024-07-01,10,Actual
Austria,2024-08-01,5,Actual
Austria,2024-09-01,0,Actual
Austria,2024-10-01,5,Actual
Austria,2024-11-01,10,Actual
Austria,2024-12-01,0,Actual
Austria,2025-01-01,9,Forecast
Austria,2025-02-01,13,Forecast
Austria,2025-03-01,7,Forecast
Austria,2025-04-01,6,Forecast
Austria,2025-05-01,8,Forecast
Austria,2025-06-01,9,Forecast
Austria,2025-07-01,7,Forecast
Austria,2025-08-01,6,Forecast
Austria,2025-09-01,5,Forecast
Austria,2025-10-01,4,Forecast
Austria,2025-11-01,6,Forecast
Austria,2025-12-01,6,Forecast
Austria,2026-01-01,11,Forecast
Austria,2026-02-01,11,Forecast
Austria,2026-03-01,7,Forecast
Austria,2026-04-01,7,Forecast
Austria,2026-05-01,8,Forecast
Austria,2026-06-01,8,Forecast
Austria,2026-07-01,8,Forecast
Austria,2026-08-01,6,Forecast
Austria,2026-09-01,5,Forecast
Austria,2026-10-01,4,Forecast
Austria,2026-11-01,5,Forecast
Austria,2026-12-01,6,Forecast
Azerbaijan,2022-01-01,35,Actual
Azerbaijan,2022-02-01,25,Actual
Azerbaijan,2022-03-01,40,Actual
Azerbaijan,2022-04-01,40,Actual
Azerbaijan,2022-05-01,30,Actual
Azerbaijan,2022-06-01,40,Actual
Azerbaijan,2022-07-01,30,Actual
Azerbaijan,2022-08-01,25,Actual
Azerbaijan,2022-09-01,30,Actual
Azerbaijan,2022-10-01,25,Actual
Azerbaijan,2022-11-01,15,Actual
Azerbaijan,2022-12-01,15,Actual
Azerbaijan,2023-01-01,40,Actual
Azerbaijan,2023-02-01,25,Actual
Azerbaijan,2023-03-01,25,Actual
Azerbaijan,2023-04-01,10,Actual
Azerbaijan,2023-05-01,20,Actual
Azerbaijan,2023-06-01,20,Actual
Azerbaijan,2023-07-01,15,Actual
Azerbaijan,2023-08-01,20,Actual
Azerbaijan,2023-09-01,20,Actual
Azerbaijan,2023-10-01,10,Actual
Azerbaijan,2023-11-01,10,Actual
Azerbaijan,2023-12-01,30,Actual
Azerbaijan,2024-01-01,25,Actual
Azerbaijan,2024-02-01,15,Actual
Azerbaijan,2024-03-01,10,Actual
Azerbaijan,2024-04-01,15,Actual
Azerbaijan,2024-05-01,20,Actual
Azerbaijan,2024-06-01,15,Actual
Azerbaijan,2024-07-01,30,Actual
